experiment_id,model,approach,lora_rank,epochs,device,training_time_sec,baseline_wer,val_wer,relative_improvement_pct,checkpoint_path,created_timestamp
20260216-220213,base.en,base_r8,8,3.0,cpu,2405,2.0583,0.7950169875424689,61.37506740793525,out/fine_tuning/20260216-220213/checkpoint,2026-02-17T06:43:30.827220+00:00
20260216-225002,base.en,base_r16,16,3.0,cpu,1892,2.0583,0.6823329558323896,66.84968392205268,out/fine_tuning/20260216-225002/checkpoint,2026-02-17T07:22:46.453752+00:00
20260217-102112,base.en,base_r8,8,3.0,cpu,1920,2.0583,0.7684031710079275,62.66806728815394,out/fine_tuning/20260217-102112/checkpoint,2026-02-17T18:54:23.755697+00:00
20260217-105625,base.en,base_r16,16,3.0,cpu,2186,2.0583,0.695356738391846,66.21693929981801,out/fine_tuning/20260217-105625/checkpoint,2026-02-17T19:34:03.884865+00:00
