experiment_id,timestamp,category,description,variable_name,baseline_value,experiment_value,model_v1_val_wer,experiment_val_wer,val_wer_delta,relative_improvement,hypothesis_supported,decision,decision_rationale,training_time_sec,checkpoint_path,notes
inference_1,2026-02-24T20:37:56.446470,inference,explicit attention mask (all ones) passed to model.generate(),attention_mask,implicit,explicit (all ones),0.6478,0.6478,0.0,0.0,True,ADOPT,"Variance 0.0000 abs pts (< 0.2 PASS), 3 runs, mean WER 0.6478",0,,
inference_2,2026-02-24T20:43:43.306729,inference,decode params loaded from DECODE_V1.json instead of per-call args,decode_config_source,per-call args,DECODE_V1.json,0.6478,0.6478,0.0,0.0,True,ADOPT,"Variance 0.0000 abs pts (< 0.2 PASS), 3 runs, mean WER 0.6478",0,,
training_1,2026-02-24T21:19:57.399763,training,lower learning rate 1e-4 → 5e-5,learning_rate,1e-4,5e-5,0.6478,0.9083,-0.2605,-40.21,False,REJECT,-26.05 abs pts improvement < 0.5 threshold,1907,out/model_improvement/experiments/training_1/checkpoint,seed=42
training_2,2026-02-24T22:01:08.267518,training,higher LoRA dropout 0.1 → 0.15,lora_dropout,0.1,0.15,0.6478,0.6404,0.0074,1.14,False,INVESTIGATE,0.74 abs pts improvement (0.5–1.9 range),1847,out/model_improvement/experiments/training_2/checkpoint,seed=42
training_3,2026-02-24T22:34:26.018297,training,L2 weight decay 0.0 → 0.01,weight_decay,0.0,0.01,0.6478,0.6416,0.0062,0.96,False,INVESTIGATE,0.62 abs pts improvement (0.5–1.9 range),1843,out/model_improvement/experiments/training_3/checkpoint,seed=42
